X,Y,osm_id,code,fclass,name
136.4499069,36.4019988,1893570662,2303,cafe,CAFE&SALON SWAN
138.6996795,35.5054172,1897776075,2303,cafe,cafe lac
136.8800137,35.1583509,1908167235,2303,cafe,ウィーン
136.2373203,36.078397,1910884329,2303,cafe,ユトリ珈琲
136.651034,36.5663406,1916715848,2303,cafe,ひらみぱん
136.86978,35.1133855,1916769194,2303,cafe,星乃珈琲店
137.2579266,36.1425518,1917793869,2303,cafe,スール (Soeur)
136.8780987,35.1711001,1927339151,2303,cafe,コメダ珈琲店
138.8680378,35.4276439,1928536946,2303,cafe,ラパン
138.4292011,34.9658399,1928625412,2303,cafe,
136.219775,36.117694,1930723474,2303,cafe,ユトリ珈琲店
136.8951143,35.1551627,1932138145,2303,cafe,タマキ
136.9027515,35.1463072,1936314384,2303,cafe,サンモリッツ
136.8915813,35.2170218,1936909207,2303,cafe,カフェヨシノ
136.8822453,35.2243835,1937612193,2303,cafe,スターバックス
136.8824126,35.2244521,1937613543,2303,cafe,サンマルクカフェ
136.883603,35.224976,1937613544,2303,cafe,nana's green tea
136.8826226,35.2243919,1937613545,2303,cafe,マザーリーフ
138.4272891,34.9664972,1937652988,2303,cafe,
136.9059977,35.1739367,1944003392,2303,cafe,スターバックス
136.8941047,35.1558302,1945846511,2303,cafe,NEW松原
136.8419047,34.8870904,1950605630,2303,cafe,招き場
136.8698119,35.1142938,1951951473,2303,cafe,快活クラブ
136.900173,35.1495145,1960678019,2303,cafe,Browny
136.8797798,35.1918084,1964143433,2303,cafe,コメダ珈琲店
136.9106384,35.1665857,1966017677,2303,cafe,コメダ珈琲店
136.9130322,35.162113,1966040715,2303,cafe,コメダ珈琲店
136.908931,35.1557863,1966058919,2303,cafe,トータス
136.906618,35.14842,1966088586,2303,cafe,コメダ珈琲店
136.9038513,35.1470289,1966096093,2303,cafe,コンパル
136.8935352,35.1577081,1967672619,2303,cafe,コメダ珈琲店
136.898194,35.1566872,1967681002,2303,cafe,オリーブ
136.8994981,35.1411239,1968280696,2303,cafe,PAHANA
136.8996339,35.1911803,1968786062,2303,cafe,鉄道屋
136.8957088,35.1835606,1969884770,2303,cafe,ユニコーン
136.8977074,35.1875944,1969884835,2303,cafe,チャオ
136.855293,35.1027775,1974463068,2303,cafe,リビエラ
136.9045307,35.1667901,1976076786,2303,cafe,くろふね
136.912111,35.16908,1978971181,2303,cafe,カフェ・ベローチェ
136.9437559,35.3871187,1985299890,2303,cafe,由利
136.9454671,35.3913886,1986261842,2303,cafe,貴船
137.2091961,36.7080742,1989828118,2303,cafe,ドトールコーヒーショップ
136.8916506,35.1561506,1990401795,2303,cafe,ターミナル
136.8997652,35.1510004,1990926801,2303,cafe,Azur Cafe
136.9018902,35.1617597,1990947339,2303,cafe,コメダ珈琲店
136.9027824,35.1431708,1991874224,2303,cafe,ブラジルコーヒー
136.9027664,35.1433324,1991874704,2303,cafe,マンボー
136.9029836,35.1499252,1992074287,2303,cafe,サンジェルマン
136.9028723,35.1480641,1993521464,2303,cafe,ゴーヤの花
136.8712008,35.1596935,1994775768,2303,cafe,ミカ
136.871226,35.1600887,1994782557,2303,cafe,My Way
136.8983864,35.1455399,1999565902,2303,cafe,I.C.カナヤマ
136.8994584,35.1457277,1999586978,2303,cafe,ハミング
136.897179,35.1554439,2000724384,2303,cafe,茶蘭花
139.0927203,34.9741613,2007947287,2303,cafe,Cafe Misono
139.0929156,34.9740836,2007947292,2303,cafe,エリーゼ
139.0943307,34.9724047,2008203818,2303,cafe,カフェ・グレコ
139.0950557,34.9716818,2008239551,2303,cafe,Sweet House わかば
139.0927948,34.9735,2008393708,2303,cafe,備屋珈琲店
136.8983452,35.1494221,2010399821,2303,cafe,じゃすみん
136.8981812,35.1497826,2010401376,2303,cafe,さよ
139.0960891,34.97207,2013702752,2303,cafe,コロンビア
139.0927632,34.9744612,2014428727,2303,cafe,CAFE LATTEO
139.0971299,34.9716377,2014428735,2303,cafe,東海館喫茶室
139.0815175,35.0056112,2016398704,2303,cafe,奈児利庵
138.6346486,36.3421685,2018528350,2303,cafe,ミカド珈琲
136.1827652,35.9495403,2019370899,2303,cafe,COFFEE&LUNCH ドルチェ
136.9356886,35.1397607,2022896549,2303,cafe,スターバックス
136.9332922,35.1493197,2022901075,2303,cafe,スターバックス
137.2598834,36.6815868,2029829791,2303,cafe,スターバックス
136.7798195,35.1468455,2031290790,2303,cafe,響
136.9846846,35.1611741,2034235218,2303,cafe,スターバックス
136.9691005,35.1867818,2034242879,2303,cafe,スターバックス
136.9451514,35.1878493,2034251628,2303,cafe,スターバックス
136.9093353,35.1711222,2034260987,2303,cafe,スターバックス
136.9212157,35.1706445,2034262835,2303,cafe,スターバックス
136.8945788,35.1682844,2034266998,2303,cafe,スターバックス
136.8745077,35.1623029,2034714670,2303,cafe,万夢
136.9020914,35.143823,2041485047,2303,cafe,コメダ珈琲店
136.874254,35.183638,2045621688,2303,cafe,コメダ珈琲店
136.939909,35.192079,2045657887,2303,cafe,コメダ珈琲店
137.7295596,34.7051951,2049075700,2303,cafe,スターバックス
136.8830207,35.1702786,2049431443,2303,cafe,スターバックス
136.883254,35.1707631,2049432856,2303,cafe,スターバックス
136.237472,36.074591,2052379718,2303,cafe,そよ風
137.9649725,36.2357556,2057346201,2303,cafe,
137.7820011,34.7264938,2060915965,2303,cafe,けやき
136.9011365,35.142092,2062530927,2303,cafe,スターバックス
136.9129597,35.126095,2062541431,2303,cafe,スターバックス
136.9085895,35.1377173,2062547751,2303,cafe,スターバックス
136.9588185,35.0941043,2062562144,2303,cafe,スターバックス
136.9989332,35.0944046,2062594232,2303,cafe,スターバックス
136.9472142,35.0533084,2062606975,2303,cafe,スターバックス
136.9057745,35.1585244,2062625511,2303,cafe,スターバックス
136.907051,35.1649894,2062625512,2303,cafe,スターバックス
136.9045235,35.1656748,2062625513,2303,cafe,スターバックス
136.9075863,35.167326,2062625514,2303,cafe,スターバックス
136.9031866,35.1683859,2062625515,2303,cafe,スターバックス
136.8994519,35.1685614,2062625516,2303,cafe,スターバックス
136.9131106,35.1691138,2062625517,2303,cafe,スターバックス
136.905879,35.1690519,2062625518,2303,cafe,スターバックス
136.8993494,35.1679267,2063877376,2303,cafe,タリーズコーヒー
136.9062155,35.1695363,2063877389,2303,cafe,タリーズコーヒー
136.9084449,35.1725791,2063877402,2303,cafe,タリーズコーヒー
136.8856446,35.1679569,2063895480,2303,cafe,スターバックス
136.861906,35.1720263,2063895481,2303,cafe,タリーズコーヒー
136.2262194,36.0844567,2064013150,2303,cafe,コメダ珈琲店
136.174918,35.973107,2068456425,2303,cafe,ひなたぼっこ
136.1813899,35.9732629,2068526563,2303,cafe,トレビ
136.175333,35.973001,2068526572,2303,cafe,ロマン
136.2917919,36.107998,2072464356,2303,cafe,ダモンデ
136.88834,35.155319,2072670663,2303,cafe,ラパン
137.162381,34.8878892,2074165267,2303,cafe,LOVEKOANDYU
136.9340091,35.1457597,2077033594,2303,cafe,コメダ珈琲店
136.9269043,35.1469527,2077060631,2303,cafe,コメダ珈琲店
136.9145335,35.1434178,2077061555,2303,cafe,コメダ珈琲店
